"Nome Fantasia ","Responsável pelas compras","Telefone ","Rua","Bairro","Cidade","Atividade",""
"O rei do caldo","Junior  / paulo","28999597069","Rod. Ricardo barbielli 146 aeroporto ","aeroporto","Cachoeiro de Itapemirim","Restaurante",""
"Panificadora nutriara","Narjara","28999668069","R. Gelson dias dos santos 48 aeroporto","aeroporto","Cachoeiro de Itapemirim","Padaria",""
"Bar do joze trajano","Jose / maria celia","28999347616","Gerson dias dos santos aeroporto","aeroporto","Cachoeiro de Itapemirim","Mercearia",""
"Mercadinho aeroporto","Medeiros","28999053552","R. Joao afonso de miranda 19 aeroporto","aeroporto","Cachoeiro de Itapemirim","Mercearia",""
"Birosca do aldo","Aldo Cabral","28999784838","R. Apostolo tome 10 Aeroporto","aeroporto","Cachoeiro de Itapemirim","Restaurante",""
"Hot dog da zeze","Zeze","28999761339","R apostulo judas 10 aeroporto","aeroporto","Cachoeiro de Itapemirim","Restaurante",""
"Supermercado Raquel","Carlos algusto ","28999128687","Avenida Ruy pinto bandeira n°42 ","Ruy pinto bandeira","Cachoeiro de Itapemirim","Supermercado",""
"Padaria pao e doce","Nedilson","28999165718","Rod. Ricardo barbieri 259 aeroporto","aeroporto","Cachoeiro de Itapemirim","Padaria",""
"Padaria mercearia abreu ","Victor alves abreu ","28999519180","R joao pancini 187 boa vista","boa vista","Cachoeiro de Itapemirim","Mercearia",""
"Dona quitanda","Celso","28999119428","Joao pancini 182 boa vista","boa vista","Cachoeiro de Itapemirim","Mercearia",""
"Comercial pereira","Decio","28999842463","Joao pancini 146 boa vista","boa vista","Cachoeiro de Itapemirim","Supermercado",""
"Q barato  nini mercado","Bruna","28998849394","Raimundo fullin 37 boa vista","boa vista","Cachoeiro de Itapemirim","Mercearia",""
"Comercial souza","Maria aparecida de oliveira","28999613785","Raimundo fullin 24 boa vista","boa vista","Cachoeiro de Itapemirim","Mercearia",""
"Caldo de cana da tia marli","Marli ","28999532483","R.joao luiz campos de jesus 12 aeroporto","aeroporto","Cachoeiro de Itapemirim","Restaurante",""
"Restaurante trevo","Mari","28999459982","Joao batista calegario 2 aeroporto ","aeroporto","Cachoeiro de Itapemirim","Restaurante",""
"Bar campo de bola de pau ","Jorge caetano / charles","28999591233","R. Joao batista galegario 25 aeroporto ","aeroporto","Cachoeiro de Itapemirim","Restaurante",""
"Hortifruti avenida","Ana Cristina","28999592914","R. Joao batista calegario 91 aeroporto","aeroporto","Cachoeiro de Itapemirim","Mercearia",""
"Mt lanches","Estava fechado ligar depois","2835176928","Joao batista calegario 1 aeroporto","aeroporto","Cachoeiro de Itapemirim","Restaurante",""
"Sol e mar sorveteria / luigi sorveteria","Brendo pacheco","28999523190","Av francisco mardegan 11 aeroporto","aeroporto","Cachoeiro de Itapemirim","Sorveteria",""
"Mercearia poggian","Ester","28999871954","R hermes gomes 58 boa vista","boa vista","Cachoeiro de Itapemirim","Mercearia",""
"Mercearia d castro","Lucineia barbosa da silva","28999429448","Euclides borges 56 boa vista","boa vista","Cachoeiro de Itapemirim","Mercearia",""
"Mini mercado massolari","Luciano","28998815405","R  euclides borges 11 boa vista","boa vista","Cachoeiro de Itapemirim","Supermercado",""
"Bar do veio","Idenir sabadini","28999817946","Raimundo fullin 129 boa vista","boa vista","Cachoeiro de Itapemirim","Restaurante",""
"Padaria vitoria","Marlene","28988038341","Raimundo fullin 133 boa vista","boa vista","Cachoeiro de Itapemirim","Padaria",""
"Evidencia bar","Maycon","28999350071","Helena debona 2 aeroporto","aeroporto","Cachoeiro de Itapemirim","Restaurante",""
"Correio frigorífico","Eduardo","28999383640","R: João Batista calegario n 135 Aeroporto","aeroporto","Cachoeiro de Itapemirim","Distribuidora",""
"Bar do boca de burro","Estabelecimento fechado / ligar","28998810570","R marcos antonio da silva 03 sao lucas","sao lucas","Cachoeiro de Itapemirim","Restaurante",""
"Mercearia teixeira","Acenir teixeira / anedir ","28999440348","R jose caetano da silva 31 sao lucas","sao lucas","Cachoeiro de Itapemirim","Mercearia",""
"Padaria merssias","Alexandre","28999158150","Jose caetano da silva 8 sao lucas","sao lucas","Cachoeiro de Itapemirim","Mercearia",""
"Di boa espaco esportivo ","Diego","28999784899","Jose clezio moreno jr 39","sao lucas","Cachoeiro de Itapemirim","Restaurante",""
"Supermercado pena forte","Ricardo","28999025062","Firmino jose pereira 23 marbrasa","marbrasa","Cachoeiro de Itapemirim","Supermercado",""
"Bar do miguel","Miguel","28999993376","Leopoldino esmazaro 248 sao lucas","sao lucas","Cachoeiro de Itapemirim","Restaurante",""
"Bailao do mazinho","Luiz","28999356271","Rua maria s/n ponto final do ibc","IBC","Cachoeiro Itapemirim","Restaurante",""
"Comercial marilene do carmo de lima fardim","Cesar","28992225456","Paula afonso 147 alto monte cristo ","Alto Monte Cristo","Cachoeiro Itapemirim","Mercearia",""
"Padaria anjo doce","Carlos ","28988173127","Eulina jacond de andrade 12 alto monte cristo","Alto Monte Cristo","Cachoeiro Itapemirim","Padaria",""
"Mercearia da silvana","Silvana nascimento","28999557419","Santino samuel de aguiar 69 sao francisco de assis","São Francisco de Assis","Cachoeiro Itapemirim","Mercearia",""
"Bar do Zé ","Jose silva","28999396810","Santino samuel de aguiar 57 sao francisco de assis","São Francisco de Assis","Cachoeiro Itapemirim","Restaurante",""
"Padaria pane pão","Deloizio ","28999461999","Santino Samuel de aguiar  83 são Francisco de Assis ","São Francisco de Assis","Cachoeiro Itapemirim","Padaria",""
"Teteia frut","Dilziane","28999624980","Santino samhel de aguiar 129 sao francisco de assis","São Francisco de Assis","Cachoeiro Itapemirim","Supermercado",""
"Padaria cachoeiro","Wagner","28999959374","Santo passoni 193 sao francisco de assis","São Francisco de Assis","Cachoeiro Itapemirim","Padaria",""
"Bolos decorativos","Adriana","28991968908","Rua fernando passoni 41 sao francisco de assis","São Francisco de Assis","Cachoeiro Itapemirim","Confeitaria",""
"Pimenta de cheiro ","Estava fechado / ligar","28999603038","Valdemar estanzani 31 sao francisco de assis","São Francisco de Assis","Cachoeiro Itapemirim","Restaurante",""
"Marciaria do Adenilson","Adenilson","28988170224","Ozil passoni 10 são Francisco ","São Francisco de Assis","Cachoeiro Itapemirim","Mercearia",""
"Padaria triunfo","Rose","28999278839","Domingues de oliveira 6 parque laranjeiras","Parque Laranjeiras","Cachoeiro de Itapemirim","Padaria",""
"Bar piaçoca","Eurico ","28999107007","Av Jones dos santos neves 697 são Francisco de Assis","São Francisco de Assis","Cachoeiro Itapemirim","Restaurante",""
"Bar do miguel","Miguel","28999504462","Av teorico ferraço 401 gilson carone","Gilson Carone","Cachoeiro Itapemirim","Restaurante",""
"Jucelio de Assis ","Jucelio","28999353134","Antônio ventura amorim 20 Gilson carone","Gilson Carone","Cachoeiro Itapemirim","Mercearia",""
"SR Mini Merado ","Marcelo ","28999487591","Rua Joao Cornelio de Sousa,  52, Gilson Carone ","Gilson Carone","Cachoeiro Itapemirim","Mercearia",""
"Bar do carioca","Josinaldo","28999475150","Av teodorico ferraço 430 gilson carone","Gilson Carone","Cachoeiro Itapemirim","Restaurante",""
"Top hamburgueria","Estava fechado / ligar","28999518066","Av  teodorico ferraço 414 gilson carone","Gilson Carone","Cachoeiro Itapemirim","Restaurante",""
"Alex bar","Alex","28999610201","Demetrio ultramar 110 parque das laranjeiras","Parque Laranjeiras","Cachoeiro Itapemirim","Restaurante",""
"Padaria boa massa ","Patrícia ","28999207333","Avenida caiçara 68 Agostinho Simonato ","Agostinho Simonato","Cachoeiro Itapemirim","Padaria",""
"Lanchonete neguito ","Luciano","28999942055","Alberto boreli 37 caiçara","Caiçara","Cachoeiro Itapemirim","Restaurante",""
"Ebal restaurantes ","Karina","28999761324","Maria de fatima pin 14 caiçara","Caiçara","Cachoeiro Itapemirim","Restaurante",""
"Padaria caiçara","Reginaldo","28999201245","Maria de Fátima PIN 28 caiçara","Caiçara","Cachoeiro Itapemirim","Padaria",""
"Bar dois irmaos","Fechado / tem que ligar","28999741950","Rua brigada pin 01 caiçara","Caiçara","Cachoeiro Itapemirim","Restaurante",""
"Marcos lanches","Tava fechado tem que ligar","28999421028","Algusta Venturini cola 78 caiçara","Caiçara","Cachoeiro Itapemirim","Restaurante",""
"Bar e churrascaria primus grill","Edson","28998840040","Av jones dos santos neves 1364/1370 caiçara","Caiçara","Cachoeiro Itapemirim","Restaurante",""
"Atletas bar","Edenilda","28999076761","Nair de souza menezes 6 coramara","Coramara","Cachoeiro Itapemirim","Restaurante",""
"Posto nazar posto conveniencia","Arnaldo","28999158184","Br 482","Morro Grande","Cachoeiro Itapemirim"," Conveniência",""
"Verdinho bar universitário","Gustavo","28999041159","Rodovia engenheiro fabiano vivacua morro grande","Morro Grande","Cachoeiro Itapemirim","Restaurante",""
"Pousada aeroporto ","Suzete","28999592999","Av francisco mardegan 157 aeroporto","Aeroporto","Cachoeiro Itapemirim","Pousada",""
"Pousada arco iris","Cristiane","28999060873","Av francisco mardegan 179 aeroporto","Aeroporto","Cachoeiro Itapemirim","Pousada",""
"Pousada Maria lucia","Maria","28999652523","Jose sechin 17 aeroporto","Aeroporto","Cachoeiro Itapemirim","Pousada",""
"Pousada bem te vi ","Maria jose","28999493244","Jose calegario 38 aeroporto","Aeroporto","Cachoeiro Itapemirim","Pousada",""
"Gostosuras da vovo","Cartao / tem que ligar","22997526361","Ten que ligar","Aeroporto","Cachoeiro Itapemirim","Confeitaria",""
"Padaria guedes","Guedes","28998837954","Manuel Pereira Martins 121- aeroporto","Aeroporto","Cachoeiro Itapemirim","Padaria",""
"Encontros bar","Edimar","28999044775","R joao pancini 174 boa vista","Boa Vista","Cachoeiro Itapemirim","Restaurante",""
"Restaurante lovati","Raquel","28992989526","Av francisco mardegan 694 marbrasa","Marbrasa","Cachoeiro Itapemirim","Restaurante",""
"Hospedaria albert","Laura","28999011228","Av francisco mardegan 694 marbrasa","Marbrasa","Cachoeiro Itapemirim","Pousada",""
"Hotel caiçara","Marta","2821013700","Av jones dos santos neves 1153 alto monre cristo","Alto Monte Cristo","Cachoeiro Itapemirim","Hotéis",""
"MW bomboniere e embalagens","Murilo","28998827238","Av.bolivarde Abreu 36 aquidaban","Aquidaban","Cachoeiro Itapemirim","Distribuidora",""
"Bradocks bar ","Carlos Morais ","28999419059","Francisco Martins, N 15, Amarelo","Amarelo","Cachoeiro Itapemirim","Restaurante",""
"Cartões gráfica","Carlos","28999747798","Rua carlos Rebelo Silva 94 - santo Antônio","Santo antonio","Cachoeiro Itapemirim","Gráfica",""
"Delicias em camadas da vivi","Viviele","28999576946","Rua Pedro Vargas 40- bnh","BNH","Cachoeiro Itapemirim","Confeitaria",""
"Cerimonial vitória","Juliana","28999961275","Rodovia engenheiro fabiano vivacua km3,2 central parque- Cachoeiro alegre","Central Parque","Cachoeiro Itapemirim","Buffet",""
"Bar e restaurante do Élio","Elio/ neila","28999239052","Rodovia engenheiro fabiano vivacua 3282- duas barras ","Duas Barras","Coutinho","Restaurante",""
"Bar e restaurante abazi","Dulce","28992912943","Avinida Cachoeiro castelo sem número- entrada castelo","Coutinho","Coutinho","Restaurante",""
"Castro cia","Luciano","28992517799","Rodovia fued Nemer-coutinho","Coutinho","Coutinho","Restaurante",""
"Mercearia e bar da Roberta","Roberta","28999774806","Av.carlos Viana - coutinho","Coutinho","Coutinho","Restaurante",""
"Dutra destribuido de bebidas","Osmar Dutra Souza","28999597197","Rua carlos Viana sem número- coutinho","Coutinho","Coutinho","Distribuidora",""
"Padaria da leide","Leidiene","28999960882","Rua principal - coutinho","Coutinho","Coutinho","Padaria",""
"Mercearia são Sebastião","Luzia","28992764607","Av Carlos Viana- coutinho","Coutinho","Cachoeiro Itapemirim","Mercearia",""
"Padaria pão certo","Rosimeire","28999923283","R anjelo Silvério 122- aeroporto","Aeroporto","Cachoeiro Itapemirim","Padaria",""
"Bar do Guimarães ","Guimaraes","28999126301","Rua angelo silverio 45 aeroporto","Aeroporto","Cachoeiro Itapemirim","Restaurante",""
"Posto soturno conviniencia- nazarao responsável por todos os postos","Francilene","28999504199","Posto soturno","Soturno","Soturno"," Conveniência",""
"Faria e grola bar mercearia e padaria","Tânia","28999195193","Rodovia comercindo moura - soturno","Soturno","Soturno","Mercearia",""
"Padaria Hortifruti cadoxi","Sarah","28999441869","Rua jhacomo silote 259- soturno","Soturno","Soturno","Padaria",""
"Hortifruti tupinikins","Everaldo","28999138541","Rua jhacomo cilote- soturno","Soturno","Soturno","Mercearia",""
"Major lanches","Fechado tem que ligar","28999945044","Rua jhacomo mocilote","Soturno","Soturno","Restaurante",""
"Coração sertanejo espaço cautre","Fechado tem que ligar","28999865957","Rua vitória ravera- soturno","Soturno","Soturno","Restaurante",""
"Supermercado campeão","Eliete","28999980297","Jacó mocilote-42","Soturno","Soturno","Supermercado",""
"Bar zé baiano","José Roberto","28999785015","Rua jhacomo silote- soturno em frente a quadra","Soturno","Soturno","Restaurante",""
"Padaria Pao Gostoso ","Larissa","28999180627","Rua Babisk, do Lado da quadra","Soturno","Soturno","Padaria",""
"Barracão do careca","Walace","28999300077","Distrito sambra soturno r Jacson silotti","Soturno","Soturno","Restaurante",""
"Mercearia cordeiro","Elio cordeiro","28999494807","Rua dalvino malais - soturno","Soturno","Soturno","Mercearia",""
"Delícias da Camila","Camila","28999616568","Euzirio ribeiro Moraes - soturno","Soturno","Soturno","Restaurante",""
"Padaria sabor e alegria","Daniela e junior","28999597217","Pç José Luns soturno","Soturno","Soturno","Padaria",""
"Supermercado Gomes","Wanderley","28999864921","Praça lunes - 13 soturno","Soturno","Soturno","Supermercado",""
"Açougue e mercearia 2 amigos","Evandro","28981034481","R Angelo bazoni soturno","Soturno","Soturno","Mercearia",""
"Bar do Eugênio","Edemar","28981116053","Rua Wanderley Barbosa-01 soturno","Soturno","Soturno","Mercearia",""
"Dirlei restante","Dirlei","28999074707","Rua Angelo bazoni 53 -soturno","Soturno","Soturno","Restaurante",""
"Bar do mineirinho","Sandra","28998817539","Rua Angelo bazoni s/n- soturno","Soturno","Soturno","Restaurante",""
"Mercearia Debona","Aline","28998824958","R principal s/n gironda ao lado da igreja católica N.S.Aparecida","Gironda","Gironda","Mercearia",""
"Padaria e confeitaria gironda","Driele","28999628302","Rua principal s/n gironda","Gironda","Gironda","Padaria",""
"Restaurante da Rose","Ari ","28999053715","Rua principal s/n gironda","Gironda","Gironda","Restaurante",""
"Supermercado capixaba","Valdemir","28352316321","Rua principal s/n gironda","Gironda","Gironda","Supermercado",""
"Mercearia gironda eliere","Catia","28998840682","Rua principal s/n gironda","Gironda","Gironda","Mercearia",""
"Restaurante j canci","Joana","28999468860","Rua principal s/n gironda","Gironda","Gironda","Restaurante",""
"Cafe e cervejaria mirante","Samuel ou isac","28999550157","Rod. Cachoeiro vargem alta. Mirante","Vargem Alta","Vargem Alta","Restaurante",""
"Casa da roça","Naiara","28999560672","Avenida Cachoeiro vargem alta","Vargem Alta","Vargem Alta","Mercearia",""
"Bar do Aguinaldo","Aguinaldo","28999693794","Rodovia Cachoeiro vargem alta","Vargem Alta","Vargem Alta","Restaurante",""
"Supermercado barroso","Carlos","28999444035","R José agrise jasigua","Jaciguá","Jaciguá","Supermercado",""
"Padaria nosso pão","Sergio","28999913182","Rua José Grise jaciguar","Jaciguá","Jaciguá","Padaria",""
"Sapore d` italia ","Estava fechado ligar depois","28999258736","Rua José agrise jaciguar","Jaciguá","Jaciguá","Restaurante",""
"Padaria el shaday","Cenir","28998836263","Boa esperança","Boa Esperança","Boa Esperança","Padaria",""
"Fud trock bar da linha","Maiara","28999784600","Av: José agrise s/n jacigua","Jaciguá","Jaciguá","Restaurante",""
"Supermercado boa esperança central de vendas","Vânia","28999489374","R principal s/n próximo colégio salesiano,  Jacigua","Jaciguá","Jaciguá","Supermercado",""
"Pastelaria el shadday","Fechado tem que ligar","28999487166","Rua José agrise s/n boa esperança ","Boa Esperança","Boa Esperança","Restaurante",""
"Comercial rz ","Rogério","28999088035","Rua José agrise s/n boa esperança","Boa Esperança","Boa Esperança","Mercearia",""
"Comercial zanette","Simon","28999836651","Av José agrise boa esperança","Boa Esperança","Boa Esperança","Restaurante",""
"Bar do lele","Valter","28999669712","Boa esperança rJosé agrizi,  Boa Esperança ","Boa Esperança","Boa Esperança","Restaurante",""
"Padaria pão de mel","Eliventon","28999297465","Rua Enoque penheiro cunha , Boa Esperança ","Boa Esperança","Boa Esperança","Padaria",""
"Bar do Paulinho","Bergue","28999210522","Rod João madureira de Deus- Cachoeiro vargem alta - lado do posto e mosquine","Vargem Alta","Vargem Alta","Restaurante",""
"Comercial Amigo ","Marcelo ","28999998451","Rua Erminio Altoé , jaciguá","Jaciguá","Jaciguá","Supermercado",""
"Restaurante tp caseiro","Alessandro","28999363300","Rua HErmínio atoe 01 jaciguar","Jaciguá","Jaciguá","Restaurante",""
"Bar lanchonete avenida","Estava fechado tem que ligar","28999134574","Rua HErmínio atoe s/n jaciguar","Jaciguá","Jaciguá","Restaurante",""
"Oliveira salgados","Oliveira","27981563982","Rua Antônio de Angele - do lado da igreja jaciguar","Jaciguá","Jaciguá","Restaurante",""
"Lanchonete do David","Estava fechado tem que ligar","28999450068","praca Padre Olivio , perto da Igreja,  jaciguar","Jaciguá","Jaciguá","Restaurante",""
"Tit bit hot dog","Tamires ","28999474725","Praça padre Olívio,  perto da Igreja,  Jacigua","Jaciguá","Jaciguá","Restaurante",""
"Bar lanchonete da Shirlei","Shirlei","28998856906","Praça padre olive, Perto da Igreja,  Jacigua ","Jaciguá","Jaciguá","Restaurante",""
"Feirinha do romildo","Romildo","28999206417","Av José agrizi jacigua","Jaciguá","Jaciguá","Mercearia",""
"Mercearia do neco","Zeferino","28981038516","Rua projetada s/n projetada comunidade paraíso serrano vargem alta","Paraiso Serrano/ Vargem Alta","Paraiso Serrano/ Vargem Alta","Mercearia",""
"Bar e mercearia ambrosi","José","28998101871","Rua projetada s/n comunidade paraíso serrano vargem alta","Paraiso Serrano/ Vargem Alta","Paraiso Serrano/ Vargem Alta","Restaurante",""
"Supermercado Romilson","Romilson/ Ricardo","28999175100","Rua projetada s/n comunidade paraíso serrano vargem alta","Paraiso Serrano/ Vargem Alta","Paraiso Serrano/ Vargem Alta","Supermercado",""
"Lanchonete e depósito do Jaime ","Jeime/ Ernesto da penha de martini","28999760034","Rua Elizeu Gasparini n 72 - vargem alta","Vargem Alta","Vargem Alta","Restaurante",""
"Diopan panificadora","Michel/","28999415420","Centro praça Alberto do carmo 58 - vargem alta","Vargem Alta","Vargem Alta","Padaria",""
"Lanchonete Deus ama todos","Eliziana ribeiro","28999009725","Rua joventino falcao gouveia 67 ao lado da rodoviária  vargem alta","Vargem Alta","Vargem Alta","Restaurante",""
"Big filmes","Laila","28999675428","Praça Alberto do carmo 103 vargem alta","Vargem Alta","Vargem Alta","Confeitaria",""
"Braulinos bar","Patrícia/delnizete","28999184052","Rua nestor Gomes 118 - vargem alta","Vargem Alta","Vargem Alta","Restaurante",""
"164 pub","Silvana / sebastiao teixeira","28999817876","Av jose joao sartorio 164 vargem alta","Vargem Alta","Vargem Alta","Restaurante",""
"Comercial Maralha ","Joao ","28999332640","Avenida Jose Joao Sartorio , 65, Vargem Alta","Vargem Alta","Vargem Alta","Açougue",""
"Conveniência Rock Beer Posto Petrobras","Marcos ","2899941810","Avenida Jose Joao , Posto Petrobras,  Vargem Alta","Vargem Alta","Vargem Alta"," Conveniência",""
"Supermercado ramos","Leidimar","2835281879","Rua nestor Gomes centro  55 vargem alta","Vargem Alta","Vargem Alta","Supermercado",""
"Padaria confeitaria silva","Maria da Penha","28999253783","Rua nestor Gomes 111 - vargem alta","Vargem Alta","Vargem Alta","Padaria",""
"Bar LANCHONETE Disneylandia","Uberacy","28999788136","Rua Joao da Cunha, centro , vargem alta","Vargem Alta","Vargem Alta","Restaurante",""
"Hortifruti Silva","Rone ","28999944145","Rua nestor Gomes","Vargem Alta","Vargem Alta","Mercearia",""
"Comercial golarte","Elias/ Ana Paula","28999182503","Rua nestor Gomes 94 centro vargem alta","Vargem Alta","Vargem Alta","Loja",""
"Padaria Goulart","Ana Paula","28999182503","Rua nestor Gomes 226 centro vargem alta","Vargem Alta","Vargem Alta","Padaria",""
"Vargem Alta Embalagens ","Monique Lima","28999173852","Praca do Carmo, Centro,  Vargem Alta","Vargem Alta","Vargem Alta","Loja",""
"Lanchonete pontos de encontro","Romarcos","28998838783","Rua nestor Gomes centro 200 rodoviária vargem alta","Vargem Alta","Vargem Alta","Restaurante",""
"Raquel câmara doceria artesanal ","Raquel / estava fechado","28999049914","Rua Felipe Davi 21 vargem alta","Vargem Alta","Vargem Alta","Confeitaria",""
"Divino grao","Thais","28999659696","Nestor Gomes centro vargem alta em frente ao banestes","Vargem Alta","Vargem Alta","Cafeteria",""
"Delicious coke confeitaria","Fechado tem que ligar","28999091334","Rua Felipe Davi 21 vargem alta","Vargem Alta","Vargem Alta","Confeitaria",""
"Sorveteria gelatto","Adson","28999164856","Rua Joventino Falcão de golveia ao lado da rodoviária","Vargem Alta","Vargem Alta","Sorveteria",""
"Kremona","Débora","28999254129","Rua Nicolau monteiro 134 centro vargem alta","Vargem Alta","Vargem Alta","Restaurante",""
"Manhães padaria e confeitaria","Wesla","28999770309","Rua João cunha 50 - vargem alta","Vargem Alta","Vargem Alta","Padaria",""
"Lanchonete restaurante da cida","Aparecida Pires","28999620089","Rua João cunha s/n centro vargem alta","Vargem Alta","Vargem Alta","Restaurante",""
"Merca frut ","Hermes","28999651030","Rua João da cunha 15 centro vargem alta","Vargem Alta","Vargem Alta","Mercearia",""
"Bar do Elson","John dellecrode peccini","28999263754","Rod.Es146 vargem alta ","Vargem Alta","Vargem Alta","Restaurante",""
"Bar do Michel ","Michel","28999716839","Rodovia Godocino Moreira Nunes, depois da entrada de Soturno","Soturno","Soturno","Restaurante",""
"Parada obrigatória","Priscila","28999518312","Rod. Gumercindo Moura nunes km10 - vargem grande de soturno","Soturno","Soturno","Restaurante",""
"Lili ","Lili restaurante lanchonete","28999233916","Rua José João Sartóri s/n - vargem alta","Vargem Alta","Vargem Alta","Restaurante",""
"Rosa bar","Rosângela","28999295770","Rod.164 são João de jacigua","jacigua","jacigua","Restaurante",""
"W G automóveis","Elizel gasparini / adm tereza w.g","28999446767","Av jones dos santos neves 656 parque laranjeiras ","parque laranjeiras","Cachoeiro Itapemirim","Revenda de veículos",""
"Vagner veículos multimarcas","Vagner ","28988083771","Av jones dos santos neves 250 km90","KM90","Cachoeiro Itapemirim","Revenda de veículos",""
"Revolution veiculos","Junior","28992545456","Av jones dos santos neves 942 km 90","KM90","Cachoeiro Itapemirim","Revenda de veículos",""
"Karla veículos ","Karla","28999617504","Av jones dos santos neves posto carletti","IBC","Cachoeiro Itapemirim","Revenda de veículos",""
"Comercial veículos ","Rizo","28999922015","Av. Jones dos santos neves 1360 caiçara","Caiçara","Cachoeiro Itapemirim","Revenda de veículos",""
"Supermix","Adriana","28999507219","R joao batista calegario 1 aeroporto","Aeroporto","Cachoeiro Itapemirim","Supermercado",""
"Supermercado otavarp","Simone","28999730347","Rod. Cachoeiro atilio vivacqua 01 aeroporto","Aeroporto","Cachoeiro Itapemirim","Supermercado",""
"Dj lanches e pizzaria","Rosimar","28999912869","Rua raimundo fullin 80 boa vista ","Boa Vista","Cachoeiro Itapemirim","Restaurante",""
"Bar do Amâncio ","Sr Amâncio ","28999185779","R manoel pereira martins 91 boa vista","Boa Vista","Cachoeiro Itapemirim","Restaurante",""
"Bar do jose martins","Jose martins","28999844875","R manoel pereira martins 90 boa vista ","Boa Vista","Cachoeiro Itapemirim","Restaurante",""
"Magna frança bar / bar do ruck","Magna","28998850172","Anatanael da cruz s.n boa vista","Boa Vista","Cachoeiro Itapemirim","Restaurante",""
"Marmitex mais voce","Erlandi","28992782133","R valmir pereira borges 72 boa vista","Boa Vista","Cachoeiro Itapemirim","Restaurante",""
"Ze formiga bolos ","Thiago/ pagou  no Instagram ","28999617168","Rua jose rico ribeiro 01 coronel Borges ","Coronel Borges","Cachoeiro Itapemirim","Confeitaria",""
"Restaurante do frade","Itamar","28999918810","Rod BR 101 sul- itapecoa","Coronel Borges","Cachoeiro Itapemirim","Restaurante",""
"Grazi Lanches e Porcoes ","Estava fechado,  tem de ligar ","28999810848","Trailer do lado do posto, na entrada de Rio Novo","Rio Novo","Rio Novo","Restaurante",""
"Stop sul po7sada e conveniencia","Paloma","28999252435","Br  101 km 394 rio novo (centro)","Rio Novo","Rio Novo"," Conveniência",""
"Rei da Marmitex","Pedro proprietário","28999401223","Rua Felipe Marcn número 04","Rio Novo","Rio Novo","Restaurante",""
"Hamburgueria Thompson ","Estava fechado,  tem de ligar","28999770172","Trailler do outro lado da BR , do posto da entrada de Rio Novo","Rio Novo","Rio Novo","Restaurante",""
"Pousada 3 irmão","Simone","28999892080","Rod BR 101 km395 - rio novo entrada do posto","Rio Novo","Rio Novo","Pousada",""
"Bar carvalho","Jocileia","28999552838","R. Jose bras Mendonça s.n rio novo ","Rio Novo","Rio Novo","Restaurante",""
"Burger arte","Jhonatan","28992557525","R major caetano rio novo ","Rio Novo","Rio Novo","Restaurante",""
"Padaria central","Ronan","28999466569","R. Major caetano 17 rio novo ","Rio Novo","Rio Novo","Padaria",""
"Casa Marcon","Valmir","28999644770","Rua major Caetano 11- centro - rio novo do sul","Rio Novo","Rio Novo","Mercearia",""
"Casa das bebidas","Loize marquiole","28999769389","Rua major Caetano,05 centro - rio novo do sul","Rio Novo","Rio Novo","Distribuidora",""
"Hortiverdi supermercado","Wilson ou Vanessa","28998829732","R major caetano rio novo ","Rio Novo","Rio Novo","Supermercado",""
"Supermercado economia","Francielle","28999281836","R: major Caetano 01  centro - rio novo no sul","Rio Novo","Rio Novo","Supermercado",""
"Restaurante esquina do sabor","Adilson","28999555803","Duque de caxias 3 rio novo","Rio Novo","Rio Novo","Restaurante",""
"Padaria fruta pão","Dinei ","28999062059","Rua Muniz freire 24 rio novo do sul","Rio Novo","Rio Novo","Padaria",""
"Açaí mania ","Fechado tem que ligar","28998834939","ao lado da padaria bem bom rio novo","Rio Novo","Rio Novo","Sorveteria",""
"Padaria bem bom","Antonio carlos / lizete ( compras)","28999150064","R major caetano 97 bairro sao jose rio novo ","Rio Novo","Rio Novo","Padaria",""
"Salgadinhos de qualidade","Fechado tem q ligar","21974861591","R. Major rio novo ","Rio Novo","Rio Novo","Restaurante",""
"Marciaria schuina","Antônio Rogério  schuina ","28999770552","R: capitão Bley,02 - centro Rio novo do sul","Rio Novo","Rio Novo","Mercearia",""
"Zero Grau ","Luis Felipe","28999517372","Rua Major Caetano,  102, Rio Novo","Rio Novo","Rio Novo","Mercearia",""
"Arte e sabor distribuidora","Denis batista elian","28999644600","R cel francisco athayde 103 centro rio novo ","Rio Novo","Rio Novo","Distribuidora",""
"Padaria salg e mel","Gleison","28999853938","R. Cel francisco alves athayde 104 rio novo","Rio Novo","Rio Novo","Padaria",""
"Lanchonete da irene","Irene","28999786566","R cel francisco alves atrayde rio novo","Rio Novo","Rio Novo","Restaurante",""
"Supermercado casa rohr Cia ","Renato","28999738638","R: corenel Francisco Alves altaid 74- rio novo","Rio Novo","Rio Novo","Supermercado",""
"Bar Zanette","Janete","28999325517","Rua Coronel Francisco Alves Athayde,  66, Centro, rio Novo","Rio Novo","Rio Novo","Restaurante",""
"Bar do antonio","Antonio","28999695956","Rua munoz freire centro rio novo","Rio Novo","Rio Novo","Restaurante",""
"Supermercado zaga","Lucinei","28999144286","R cel francisco athayde centro rio novo","Rio Novo","Rio Novo","Supermercado",""
"Restaurante do Gil","Gilberto","28999532329","Rod do frade s/n ao lado do hotel urtiga","Rio Novo","Rio Novo","Restaurante",""
